"","start","keyword","hits","location"
"1",2016-09-23 08:00:00,"Wekker",17,"NL"
"2",2016-09-23 09:00:00,"Wekker",16,"NL"
"3",2016-09-23 10:00:00,"Wekker",18,"NL"
"4",2016-09-23 11:00:00,"Wekker",16,"NL"
"5",2016-09-23 12:00:00,"Wekker",21,"NL"
"6",2016-09-23 13:00:00,"Wekker",16,"NL"
"7",2016-09-23 14:00:00,"Wekker",17,"NL"
"8",2016-09-23 15:00:00,"Wekker",23,"NL"
"9",2016-09-23 16:00:00,"Wekker",25,"NL"
"10",2016-09-23 17:00:00,"Wekker",21,"NL"
"11",2016-09-23 18:00:00,"Wekker",26,"NL"
"12",2016-09-23 19:00:00,"Wekker",32,"NL"
"13",2016-09-23 20:00:00,"Wekker",39,"NL"
"14",2016-09-23 21:00:00,"Wekker",45,"NL"
"15",2016-09-23 22:00:00,"Wekker",40,"NL"
"16",2016-09-23 23:00:00,"Wekker",26,"NL"
"17",2016-09-24 00:00:00,"Wekker",56,"NL"
"18",2016-09-24 01:00:00,"Wekker",31,"NL"
"19",2016-09-24 02:00:00,"Wekker",19,"NL"
"20",2016-09-24 03:00:00,"Wekker",44,"NL"
"21",2016-09-24 04:00:00,"Wekker",46,"NL"
"22",2016-09-24 05:00:00,"Wekker",43,"NL"
"23",2016-09-24 06:00:00,"Wekker",43,"NL"
"24",2016-09-24 07:00:00,"Wekker",31,"NL"
"25",2016-09-24 08:00:00,"Wekker",31,"NL"
"26",2016-09-24 09:00:00,"Wekker",28,"NL"
"27",2016-09-24 10:00:00,"Wekker",20,"NL"
"28",2016-09-24 11:00:00,"Wekker",22,"NL"
"29",2016-09-24 12:00:00,"Wekker",18,"NL"
"30",2016-09-24 13:00:00,"Wekker",21,"NL"
"31",2016-09-24 14:00:00,"Wekker",20,"NL"
"32",2016-09-24 15:00:00,"Wekker",21,"NL"
"33",2016-09-24 16:00:00,"Wekker",15,"NL"
"34",2016-09-24 17:00:00,"Wekker",19,"NL"
