Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)

2013-10-27 02:26:25;2013-10-27 09:34:58;66%;7:08;;;;0

2013-10-28 00:24:17;2013-10-28 06:49:14;56%;6:24;;;;0

2013-10-28 23:53:32;2013-10-29 07:01:23;75%;7:07;;;;0

2013-10-29 23:19:56;2013-10-30 06:57:15;82%;7:37;;;;0

2013-10-30 22:29:59;2013-10-31 06:57:40;100%;8:27;;;;0

2013-10-31 20:09:23;2013-11-01 06:02:06;100%;9:52;;;;0

2013-11-02 00:16:17;2013-11-02 08:36:40;92%;8:20;;;;0

2013-11-03 00:22:10;2013-11-03 08:32:55;86%;9:10;;;;0

2013-11-03 22:21:34;2013-11-04 06:02:55;85%;7:41;;;;0

2013-11-04 22:13:52;2013-11-05 07:19:33;71%;9:05;;;;0

2013-11-05 23:17:31;2013-11-06 06:27:54;78%;7:10;;;;0

2013-11-06 22:27:15;2013-11-07 06:32:29;80%;8:05;;;;0

2013-11-07 23:54:08;2013-11-08 06:24:59;78%;6:30;;;;0

2013-11-08 22:05:11;2013-11-09 08:09:02;71%;10:03;;;;0

2013-11-09 23:45:13;2013-11-10 08:09:23;94%;8:24;;;;0

2013-11-10 23:00:12;2013-11-11 07:11:23;95%;8:11;;;;0

2013-11-11 23:51:22;2013-11-12 06:07:16;59%;6:15;;;;0

2013-11-13 00:03:57;2013-11-13 07:20:11;67%;7:16;;;;0

2013-11-14 00:39:33;2013-11-14 06:50:26;64%;6:10;;;;0

2013-11-17 22:33:48;2013-11-18 06:33:04;90%;7:59;;;;0

2013-11-18 22:38:57;2013-11-19 06:37:35;78%;7:58;;;;0

2013-11-20 00:05:37;2013-11-20 06:49:41;78%;6:44;;;;0

2013-11-20 23:18:01;2013-11-21 06:37:35;84%;7:19;;;;0

2013-11-22 00:12:07;2013-11-22 06:47:18;63%;6:35;;;;0

2013-11-22 23:40:40;2013-11-23 07:47:33;70%;8:06;;;;0

2013-11-24 00:54:20;2013-11-24 08:59:48;74%;8:05;;;;0

2013-11-24 23:12:00;2013-11-25 06:58:31;93%;7:46;;;;0

2013-11-25 23:21:52;2013-11-26 06:47:58;74%;7:26;;;;0

2013-11-26 23:10:28;2013-11-27 06:26:23;80%;7:15;;;;0

2013-12-02 01:45:51;2013-12-02 06:57:01;58%;5:11;;;;0

2013-12-02 21:59:31;2013-12-03 06:58:13;65%;8:58;;;;0

2013-12-03 22:34:19;2013-12-04 06:31:54;57%;7:57;;;;0

2013-12-04 22:34:54;2013-12-05 06:32:11;77%;7:57;;;;0

2013-12-05 23:47:27;2013-12-06 06:31:08;65%;6:43;;;;0

2013-12-09 00:00:39;2013-12-09 06:36:45;72%;6:36;;;;0

2013-12-09 23:27:23;2013-12-10 06:49:31;80%;7:22;;;;0

