Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes
2013-10-13 23:27:47;2013-10-14 04:51:04;55%;5:23;;
2013-10-14 23:48:31;2013-10-15 08:55:28;92%;9:06;;
2013-10-15 22:24:02;2013-10-16 05:50:58;60%;7:26;;
2013-10-17 22:16:32;2013-10-18 04:53:29;77%;6:36;;
2013-10-18 23:27:53;2013-10-19 05:49:57;71%;6:22;;
2013-10-20 22:45:16;2013-10-21 04:48:20;51%;6:03;;
2013-10-21 22:38:38;2013-10-22 07:01:20;97%;8:22;;
2013-10-22 22:15:18;2013-10-23 04:24:22;67%;6:09;;
2013-10-23 22:56:08;2013-10-24 07:24:29;87%;8:28;;
2013-10-24 22:58:37;2013-10-25 04:30:48;54%;5:32;;
2013-10-25 22:46:04;2013-10-26 05:03:37;69%;6:17;;
2013-10-26 21:28:00;2013-10-27 04:56:59;69%;7:28;;
2013-10-27 21:58:06;2013-10-28 07:25:00;90%;9:26;;
2013-10-28 22:14:50;2013-10-29 07:33:51;92%;9:19;;
2013-10-29 23:34:16;2013-10-30 07:28:42;93%;7:54;;
2013-10-30 22:39:27;2013-10-31 07:28:46;92%;8:49;;
2013-10-31 22:25:42;2013-11-01 04:31:09;74%;6:05;;
2013-11-02 00:14:52;2013-11-02 05:37:31;54%;5:22;;
2013-11-03 00:26:06;2013-11-03 07:18:39;78%;7:52;;
2013-11-03 21:37:52;2013-11-04 04:36:55;76%;6:59;;
2013-11-04 22:36:48;2013-11-05 07:25:02;82%;8:48;;
2013-11-05 23:18:59;2013-11-06 04:40:58;59%;5:21;;
2013-11-06 22:42:49;2013-11-07 07:25:10;100%;8:42;;
2013-11-07 21:39:27;2013-11-08 04:35:26;73%;6:55;;
2013-11-08 23:29:20;2013-11-09 07:26:32;68%;7:57;;
2013-11-10 21:36:41;2013-11-11 07:35:24;100%;9:58;;
2013-11-11 22:48:54;2013-11-12 07:27:14;93%;8:38;;Ate late:Stressful day:Worked out
2013-11-12 21:42:43;2013-11-13 04:22:17;51%;6:39;;Ate late:Worked out
2013-11-13 23:10:54;2013-11-14 07:53:39;93%;8:42;;Stressful day
2013-11-14 22:39:20;2013-11-15 04:27:54;64%;5:48;;Worked out
2013-11-15 23:10:19;2013-11-16 05:35:37;72%;6:25;;Ate late:Drank coffee:Worked out
2013-11-16 22:18:44;2013-11-17 08:04:27;91%;9:45;;Ate late:Drank coffee:Worked out
2013-11-17 21:34:35;2013-11-18 04:34:16;74%;6:59;;
2013-11-18 22:33:56;2013-11-19 07:29:21;98%;8:55;;
2013-11-19 22:38:36;2013-11-20 04:34:56;62%;5:56;;
2013-11-20 22:23:11;2013-11-21 04:37:44;72%;6:14;;
2013-11-21 21:02:19;2013-11-22 08:40:40;79%;11:38;:);Worked out
2013-11-23 00:02:30;2013-11-23 08:50:32;95%;8:48;:);
2013-11-23 23:07:19;2013-11-24 08:37:07;70%;9:29;:);
2013-11-24 22:52:55;2013-11-25 08:21:45;74%;9:28;:);
2013-11-25 22:29:17;2013-11-26 05:17:58;53%;6:48;:(;
2013-11-26 23:56:03;2013-11-27 06:13:48;53%;6:17;:|;
2013-11-27 21:50:44;2013-11-28 07:02:26;98%;9:11;:|;
2013-11-28 22:15:14;2013-11-29 01:00:17;34%;2:45;:|;
2013-11-30 00:21:45;2013-11-30 06:11:52;28%;5:50;:|;
2013-12-01 00:03:22;2013-12-01 08:57:31;93%;8:54;:);
2013-12-01 21:36:39;2013-12-02 04:26:42;73%;6:50;:|;Ate late
2013-12-02 22:08:07;2013-12-03 07:43:17;89%;9:35;:);Drank coffee:Stressful day:Worked out
2013-12-03 21:59:43;2013-12-04 04:11:47;68%;6:12;:|;
2013-12-04 22:35:34;2013-12-05 04:24:00;56%;5:48;:|;
2013-12-05 22:52:23;2013-12-06 06:02:43;74%;7:10;:);
2013-12-06 22:29:23;2013-12-07 05:45:35;81%;7:16;:|;
2013-12-08 00:21:14;2013-12-08 09:01:31;76%;8:40;:);
2013-12-08 22:57:41;2013-12-09 04:30:46;62%;5:33;:|;
2013-12-09 22:07:51;2013-12-10 04:39:03;76%;6:31;:|;
2013-12-10 22:00:24;2013-12-11 07:44:47;84%;9:44;:);
2013-12-11 23:45:21;2013-12-12 04:32:55;46%;4:47;:(;Drank coffee:Stressful day:Worked out
2013-12-12 22:47:20;2013-12-13 06:37:36;87%;7:50;:|;
2013-12-13 22:49:07;2013-12-14 05:39:02;80%;6:49;:|;
2013-12-14 22:56:45;2013-12-15 08:22:44;92%;9:25;:);
2013-12-15 23:00:56;2013-12-16 07:51:47;96%;8:50;:);
2013-12-16 22:19:57;2013-12-17 07:41:16;90%;9:21;:);
2013-12-17 21:52:53;2013-12-18 04:56:54;62%;7:04;:|;
2013-12-18 22:36:23;2013-12-19 07:22:26;68%;8:46;:);Drank coffee
2013-12-19 21:58:43;2013-12-20 06:00:06;86%;8:01;:);
2013-12-20 22:56:30;2013-12-21 08:18:50;84%;9:22;:);
2013-12-21 23:07:33;2013-12-22 07:55:56;75%;8:48;:);
2013-12-22 22:52:29;2013-12-23 06:12:27;71%;7:19;:|;
2013-12-23 23:30:42;2013-12-24 06:01:50;72%;6:31;:|;
2013-12-24 22:29:00;2013-12-25 08:11:26;73%;9:42;:);
2013-12-25 21:49:55;2013-12-26 06:01:37;90%;8:11;:|;
2013-12-26 22:44:06;2013-12-27 06:14:41;62%;7:30;:|;
2013-12-27 22:40:29;2013-12-28 05:40:45;66%;7:00;:(;
2013-12-28 22:30:01;2013-12-29 08:46:28;70%;10:16;:);
2013-12-29 22:06:18;2013-12-30 04:50:20;65%;6:44;:|;
2013-12-30 21:53:01;2013-12-31 06:02:25;76%;8:09;:|;
2014-01-01 22:17:06;2014-01-02 04:40:03;72%;6:22;:|;
2014-01-02 23:13:41;2014-01-03 06:10:18;63%;6:56;:|;
2014-01-03 23:47:48;2014-01-04 05:50:18;65%;6:02;:|;
2014-01-04 23:42:36;2014-01-05 08:41:11;99%;8:58;:);
2014-01-05 23:26:17;2014-01-06 08:03:10;83%;8:36;:);
2014-01-06 23:45:38;2014-01-07 08:24:41;74%;8:39;:);
2014-01-07 23:26:33;2014-01-08 08:32:05;85%;9:05;:);
2014-01-08 21:55:55;2014-01-09 08:13:03;95%;10:17;:);
2014-01-09 22:23:43;2014-01-10 08:37:42;52%;10:13;:);
2014-01-10 22:15:42;2014-01-11 05:37:27;76%;7:21;:|;
2014-01-11 23:22:57;2014-01-12 08:51:25;92%;9:28;:);
2014-01-12 21:14:23;2014-01-13 04:04:14;70%;6:49;:|;
2014-01-13 21:53:35;2014-01-14 04:37:52;76%;6:44;:|;
2014-01-14 22:05:44;2014-01-15 04:44:36;71%;6:38;:|;
2014-01-15 22:40:58;2014-01-16 07:37:56;88%;8:56;:|;
2014-01-16 22:36:11;2014-01-17 05:26:54;49%;6:50;:(;
2014-01-17 23:42:52;2014-01-18 08:25:35;88%;8:42;:);
2014-01-18 22:40:28;2014-01-19 05:41:49;74%;7:01;:|;
2014-01-20 00:41:36;2014-01-20 08:54:04;83%;8:12;:|;
2014-01-20 22:30:37;2014-01-21 05:41:55;76%;7:11;:);
2014-01-21 22:06:12;2014-01-22 04:35:47;49%;6:29;:|;
2014-01-22 23:08:10;2014-01-23 08:15:23;83%;9:07;:);
2014-01-23 22:34:26;2014-01-24 08:39:08;78%;10:04;:);
2014-01-24 23:24:20;2014-01-25 05:50:05;50%;6:25;:|;
2014-01-25 23:56:31;2014-01-26 08:59:15;90%;9:02;:);
2014-01-26 22:57:08;2014-01-27 06:21:08;66%;7:23;:);
2014-01-27 22:50:17;2014-01-28 09:32:43;87%;10:42;:);
2014-01-28 22:02:39;2014-01-29 07:16:52;71%;9:14;:);
2014-01-29 22:21:44;2014-01-30 07:24:04;89%;9:02;:);
2014-01-30 22:16:29;2014-01-31 04:18:35;63%;6:02;:|;
2014-01-31 21:22:09;2014-02-01 05:47:15;68%;8:25;:|;
2014-02-01 23:19:04;2014-02-02 08:26:36;88%;9:07;:);
2014-02-02 22:52:55;2014-02-03 04:50:20;57%;5:57;:);
2014-02-03 22:09:06;2014-02-04 07:36:26;88%;9:27;:);
2014-02-04 23:06:50;2014-02-05 05:24:03;60%;6:17;:|;
2014-02-05 22:29:03;2014-02-06 04:44:55;67%;6:15;:|;
2014-02-06 22:37:35;2014-02-07 07:40:27;87%;9:02;:);
2014-02-07 22:38:43;2014-02-08 05:44:47;54%;7:06;:|;
2014-02-09 21:30:01;2014-02-10 04:47:57;68%;7:17;:|;
2014-02-10 21:29:44;2014-02-11 07:44:57;85%;10:15;:);
2014-02-11 21:34:16;2014-02-12 04:44:13;60%;7:09;:|;
2014-02-12 21:22:16;2014-02-13 04:45:24;67%;7:23;:|;
2014-02-13 20:43:23;2014-02-14 04:45:14;69%;8:01;:|;
2014-02-14 21:29:51;2014-02-15 06:06:59;94%;8:37;:|;
2014-02-15 22:44:14;2014-02-16 07:40:58;96%;8:56;:);
2014-02-16 21:29:01;2014-02-17 04:57:29;88%;7:28;:);
2014-02-17 22:17:54;2014-02-18 07:32:04;96%;9:14;:);
2014-02-18 21:27:19;2014-02-19 07:45:21;60%;10:18;:);
2014-02-19 22:08:28;2014-02-20 05:43:00;72%;7:34;:|;
2014-02-20 21:42:46;2014-02-21 07:32:03;73%;9:49;:);
2014-02-21 21:36:34;2014-02-22 07:54:08;97%;10:17;:);
2014-02-23 00:48:27;2014-02-23 08:22:28;81%;7:34;:);
2014-02-23 21:25:42;2014-02-24 04:32:45;71%;7:07;:);
2014-02-24 23:39:05;2014-02-25 06:08:18;70%;6:29;:|;
2014-02-25 22:37:57;2014-02-26 07:27:38;100%;8:49;:);
2014-02-26 22:21:24;2014-02-27 07:35:45;94%;9:14;:);
2014-02-27 21:50:30;2014-02-28 07:01:36;98%;9:11;:);
2014-02-28 23:04:54;2014-03-01 07:33:10;86%;8:28;:);
